id_bien,no_voie,btq,type_voie,voie,type_local,surface_reelle_bati,nb_pieces_principales,surface_terrain,id_codedep_codecommune
30611,77,,RUE,VAUVENARGUES,Appartement,50,2,,75118
30612,7,T,CITE,DU MIDI,Maison,54,3,,75118
30613,6,,PAS,KRACHER,Appartement,24,2,,75118
30614,42,,RUE,DE LA CHARBONNIERE,Appartement,79,3,,75118
30615,12,,RUE,DES SOLITAIRES,Appartement,16,1,,75119
30616,5,,RUE,FESSART,Appartement,40,3,,75119
30617,14,,RUE,BOTZARIS,Appartement,69,2,,75119
30618,7,,RUE,MANIN,Appartement,45,2,,75119
30619,38,,RUE,DES ENVIERGES,Appartement,59,3,,75120
30620,363,B,RUE,DES PYRENEES,Appartement,65,4,,75120
30621,31,,RUE,DU BORREGO,Appartement,23,1,,75120
30622,50,,RUE,ORFILA,Appartement,16,1,,75120
30623,9,,RUE,JACQUES LOUER,Appartement,52,1,,76351
30624,23,,RUE,BOIELDIEU,Appartement,46,2,,76351
30625,421,,RUE,DE VERDUN,Appartement,67,4,,76351
30626,8,,RUE,PIERRE MAC ORLAN,Appartement,48,2,,76540
30627,3,,RUE,PORET DE BLOSSEVILLE,Appartement,63,3,,76540
30628,4,,,COUR DE LA PLAGE,Appartement,70,4,,76655
30629,2,,RUE,DE L AVIATEUR MARTEL,Appartement,61,3,,77058
30630,4,,RUE,SAINTE BATHILDE,Appartement,78,4,,77108
30631,16,,AV,EMILE ZOLA,Appartement,24,1,,77152
30632,1,,RUE,PAUL DELAIR,Appartement,60,3,,77305
30633,2,B,RUE,DU TROU DE LA VENTE,Appartement,55,2,,77312
30634,6,,ALL,ARTHUR RIMBAUD,Appartement,61,3,,77373
30635,15,,RUE,DES PATIS,Maison,86,4,,77468
30636,28,,GR,GRANDE RUE,Appartement,64,3,,77468
30637,26,,AV,DES FUSILLES,Appartement,46,2,,77479
30638,1165,,BD,PELLETIER,Appartement,31,1,,78123
30639,42,,RUE,DE VERSAILLES,Appartement,30,3,,78158
30640,53,,RUE,DESIRE CLEMENT,Appartement,42,2,,78172
30641,46,,RUE,HOCHE,Appartement,78,4,,78311
30642,9001,,SQ,LE KAIN,Appartement,48,3,,78358
30643,18,,RUE,DE SOLFERINO,Appartement,48,3,,78358
30644,31,,RUE,DE LA SANGLE,Appartement,32,2,,78361
30645,6,,RUE,DE LA SOMME,Appartement,41,2,,78361
30646,4,,ALL,DE LA MEUSE,Appartement,87,4,,78383
30647,6,,PL,DE BRETAGNE,Appartement,42,2,,78383
30648,12,,RUE,DES PLEIADES,Appartement,81,4,,78440
30649,9,,RES,LENOTRE,Appartement,68,3,,78517
30650,11,T,BD,VICTOR HUGO,Appartement,53,2,,78551
30651,9,,ALL,PAUL VERLAINE,Maison,90,7,,78624
30652,4,,AV,DES NOES,Appartement,61,3,,78644
30653,22,,RUE,LOUIS HAUSSMANN,Appartement,79,4,,78646
30654,2,,RUE,EMILE DESCHAMPS,Appartement,31,1,,78646
30655,36,,RUE,EDOUARD CHARTON,Appartement,75,3,,78646
30656,13,,RUE,DU MARECHAL JOFFRE,Appartement,39,2,,78650
30657,2,,RUE,DU PRE,Appartement,67,3,,82121
30658,214,,RUE,CUVIER,Appartement,57,2,,83009
30659,34,,AV,FAUVETTES MT DES OISEAUX,Appartement,77,3,,83069
30660,464,,CHE,DE VALLON CROS,Maison,150,4,,83090
30661,9005,,,LA MADRAGUE,Appartement,27,1,,83112
30662,4774,,,ANCIEN CHEM DE TOULON,Appartement,22,1,,83123
30663,25,,RUE,AMIRAL NOMY,Appartement,96,5,,83137
30664,9001,,RUE,MARQUETAS,Appartement,17,1,,83137
30665,35,,RUE,LARMODIEU,Appartement,49,2,,83137
30666,860,,BD,DU FARON,Appartement,112,4,,83137
30667,355,,RTE,DE CAUMONT,Appartement,83,4,,84054
30668,6,B,RUE,NOTRE DAME,Appartement,61,3,,91232
30669,6,,RUE,DE MILLY,Appartement,19,1,,91386
30670,11,,DOM,DE VILLEJUST,Maison,92,4,16,91666
30671,20,,CITE,NOUVELLE,Appartement,22,1,,92024
30672,3,,RUE,FERNAND PELLOUTIER,Appartement,66,1,,92024
30673,3,,RUE,MARIE ET PIERRE CURIE,Appartement,35,2,,92024
30674,13,,AV,GALLIENI,Appartement,40,1,,92026
30675,1,,ALL,CAMILLE ST SAENS,Appartement,67,4,,92032
30676,48,,RUE,MARJOLIN,Appartement,73,3,,92044
30677,109,,RUE,ANATOLE FRANCE,Appartement,35,1,,92044
30678,45,,RUE,JULES GUESDE,Appartement,22,1,,92044
30679,48,,AV,VERDIER,Appartement,42,2,,92049
30680,58,,AV,GALLIENI,Appartement,64,3,,93031
30681,6,,SQ,DES CREDOS,Appartement,54,3,,93031
30682,3,,RUE,DU CENTENAIRE,Appartement,20,2,,93048
30683,87,,RUE,DU SERGENT BOBILLOT,Appartement,20,1,,93048
30684,40,,AV,DU GEN DE GAULLE,Appartement,28,1,,93050
30685,2,,RUE,HUSSENET,Appartement,88,4,,93064
30686,5,,RUE,LUCIEN PIRON,Appartement,55,2,,93064
30687,14,,RUE,SAINT CLEMENT,Appartement,61,3,,93066
30688,27,,RUE,PROUDHON,Appartement,49,2,,93066
30689,57,,RUE,DE STRASBOURG,Appartement,38,1,,93066
30690,5,,RUE,JEAN RENAUDIE,Appartement,65,3,,93079
30691,4,,RUE,JEAN GRANDEL,Appartement,80,2,,94015
30692,142,,AV,DU GENERAL LECLERC,Appartement,34,2,,94015
30693,15,,RUE,DE SEVIGNE,Appartement,54,3,,94017
30694,8,,AV,DES MARRONNIERS,Appartement,142,6,,94033
30695,3,,ALL,DES EFFES,Appartement,75,4,,94034
30696,35,,RUE,DE VERDUN,Appartement,40,2,,94034
30697,123,,RUE,DE CHEVILLY,Appartement,81,4,,94038
30698,6,,RUE,DE LA FUTAIE,Appartement,36,2,,94038
